channel_id,channel_name,playlist_id
UCPlwvN0w4qFSP1FllALB92w,numberblocks,
UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy,
UCBuMwlP7kHkNxdPAqtFSJTw,mathantics,
UCfPyVJEBD7Di1YYjTdS2v8g,Homeschool Pop,
UCtYh64W-vzs67gKJnUkwvcQ,Twinkl Educational Publishing,
UCeMdTjKV75PnUAL4p7Ez-fQ,ScrivenTV,
UCMY4o8_rPjmFoatx7F4TvHQ,Twinkl Kids TV,
UCe7-L8GYJZ6nit4Hil9UwXw,The Magic of Math,
UCjxu5mHqZnVlb_8-Zjv-D1A,GenerationGenius,
UCNTakNQwoAqVtPSORzswT_A,Harry Kindergarten Music,
UCtZNbRYItw2Hx_1AzINC5Yg,TutorZed,
UC2ETFjecc86Nze4OcvC-DDQ,summit maths,
UC8NFs-VWUsyuq4zaYVVMgCQ,Scratch Garden,PL_ym6QHjS1swgJe7QmMQXwoZuMY7Tq0qT
UC8NFs-VWUsyuq4zaYVVMgCQ,Scratch Garden,PL_ym6QHjS1sw5Oq_JV_9aqldJqA4Pn1yK
UCq0EGvLTyy-LLT1oUSO_0FQ,Eddie Woo,
UCFe6jenM1Bc54qtBsIJGRZQ,PatrickJ,
UCY-ywrKyfsSFF1tILNH1pNA,Math with Mr. J,
UCGV4hvTAboP6eRixCPSPa7w,Lampofilm,
UCVogBjtzw67nxp-qEKgEIyA,Eat Pi,
UC_qCMRACUEWiq_u-E-IOoZg,MightyOwl,
UCJGB9PYRigvklFv3IgszWEw,Maths_4_Kids,
UCqb89GqploCXgz4lsdR-_ww,Kids_Academy,PLiMIqKsOLxPxJD6MJEEmIU-JHSLMMetRj
UCqb89GqploCXgz4lsdR-_ww,Kids_Academy,PLiMIqKsOLxPyhrf3_4iVelJtO7hOGZJ4H
UCqb89GqploCXgz4lsdR-_ww,Kids_Academy,PLiMIqKsOLxPzNuMZwQd1_9RKLN7nNQxUX
UCGV4hvTAboP6eRixCPSPa7w,Lampofilm,PL_FVSljwwS3cLjCbEkFBZjcW-ZxT8lOC-
UCi7fdJ5Dv7v6Z-tU_It_rag,Twinkl_Teaches_KS2,PLZeGs73bkNIM0ftQ5PYHNG7D1Aw81YsIu
UCBuMwlP7kHkNxdPAqtFSJTw,mathantics,PLUPEBWbAHUsy-ow8RdnlRokMT9UrHb2Kd
UCtYh64W-vzs67gKJnUkwvcQ,Twinkl_Educational_Publishing,PLemcx8qcUKRwB-lToorjBhoHvyMhQeXWz
UC4a-Gbdw7vOaccHmFo40b9g,Khan_Academy,PL50D1D09ABE9CE271
UC4a-Gbdw7vOaccHmFo40b9g,Khan_Academy,PLSQl0a2vh4HBaCppBWK0yB33lvbQ8L6c2
UC4a-Gbdw7vOaccHmFo40b9g,Khan_Academy,PLSQl0a2vh4HADvjXzE4rEo7B60J3RUScn
UC4a-Gbdw7vOaccHmFo40b9g,Khan_Academy,PLSQl0a2vh4HB6I9NRYeudXLIdPqCVKXhv
UC4a-Gbdw7vOaccHmFo40b9g,Khan_Academy,PLSQl0a2vh4HCYMbX9nmPgDjZ8YWOVOmT7
UC5PttQP-toKXd3mQSA7Nmbg,Math Grizz
UCMxTHqmmGcECrSJWbpjCtTw,Maths_with_Mrs_B
UCqb89GqploCXgz4lsdR-_ww,Kids_Academy,PLiMIqKsOLxPxJEYh-CFNMlQjPx3fVKZOn
UCqb89GqploCXgz4lsdR-_ww,Kids_Academy,PLiMIqKsOLxPyjuixh8YtSKbOXmPlU5c9l
